age,gender, bmi_p3, bmi_p5, bmi_p10, bmi_p50, bmi_75, bmi_95
5.00,f,11.85,12.11,12.49,14.22,15.54,18.03
5.50,f,11.91,12.17,12.55,14.37,15.69,18.31
6.00,f,11.97,12.20,12.66,14.51,15.92,18.63
6.50,f,12.00,12.29,12.72,14.69,16.15,18.98
7.00,f,12.08,12.34,12.84,14.86,16.38,19.32
7.50,f,12.14,12.43,12.92,15.09,16.64,19.70
8.00,f,12.20,12.52,13.04,15.30,16.93,20.10
8.50,f,12.31,12.63,13.18,15.56,17.27,20.54
9.00,f,12.40,12.78,13.33,15.84,17.62,21.03
9.50,f,12.52,12.92,13.47,16.13,18.05,21.46
10.00,f,12.63,13.04,13.67,16.42,18.43,22.01
10.50,f,12.78,13.21,13.91,16.83,18.86,22.50
11.00,f,12.98,13.41,14.14,17.20,19.38,23.05
11.50,f,13.18,13.65,14.40,17.61,19.82,23.65
12.00,f,13.39,13.88,14.69,18.02,20.28,24.17
12.50,f,13.65,14.14,14.95,18.39,20.71,24.72
13.00,f,13.88,14.43,15.24,18.77,21.14,25.21
13.50,f,14.11,14.63,15.47,19.09,21.52,25.59
14.00,f,14.34,14.83,15.73,19.40,21.81,25.94
14.50,f,14.48,15.03,15.96,19.64,22.10,26.20
15.00,f,14.69,15.24,16.16,19.87,22.33,26.37
15.50,f,14.86,15.41,16.34,20.07,22.50,26.48
16.00,f,15.03,15.56,16.51,20.24,22.64,26.57
16.50,f,15.21,15.76,16.63,20.42,22.79,26.63
17.00,f,15.35,15.93,16.86,20.62,22.96,26.71
17.50,f,15.58,16.13,17.06,20.79,23.11,26.77
18.00,f,15.70,16.31,17.23,21.00,23.22,26.83
5.00,m,12.09,12.33,13.60,14.66,15.69,17.43
5.50,m,12.15,12.39,13.66,14.75,15.84,17.61
6.00,m,12.18,12.48,13.74,14.86,15.96,17.78
6.50,m,12.24,12.51,13.86,14.98,16.07,18.02
7.00,m,12.36,12.56,13.98,15.13,16.31,18.25
7.50,m,12.39,12.65,14.07,15.31,16.52,18.55
8.00,m,12.48,12.77,14.19,15.48,16.75,18.84
8.50,m,12.54,12.86,14.36,15.69,16.99,19.26
9.00,m,12.62,12.95,14.54,15.93,17.31,19.67
9.50,m,12.74,13.10,14.72,16.16,17.64,20.05
10.00,m,12.86,13.18,14.95,16.46,17.99,20.55
10.50,m,12.95,13.33,15.16,16.75,18.34,21.03
11.00,m,13.10,13.45,15.40,17.08,18.76,21.59
11.50,m,13.21,13.63,15.60,17.37,19.14,22.12
12.00,m,13.33,13.77,15.84,17.67,19.49,22.59
12.50,m,13.45,13.92,16.04,17.99,19.85,23.03
13.00,m,13.57,14.01,16.25,18.25,20.23,23.47
13.50,m,13.69,14.19,16.49,18.49,20.52,23.83
14.00,m,13.83,14.27,16.69,18.79,20.82,24.24
14.50,m,13.98,14.48,16.93,19.02,21.14,24.59
15.00,m,14.19,14.72,17.19,19.35,21.47,24.92
15.50,m,14.39,14.92,17.43,19.61,21.76,25.24
16.00,m,14.63,15.19,17.72,19.94,22.09,25.51
16.50,m,14.86,15.40,17.99,20.23,22.38,25.80
17.00,m,15.13,15.66,18.28,20.52,22.68,26.10
17.50,m,15.37,15.93,18.58,20.82,23.00,26.39
18.00,m,15.63,16.19,18.87,21.11,23.27,26.63
