age,sex,height_p3,height_p10,height_p25,height_p50,height_p75,height_p90,height_p97,wt_p3,wt_p10,wt_p25,wt_p50,wt_p75,wt_p90,wt_p97
1,m,71,72.1,74.8,74.4,78.1,79.5,81,7.7,8.5,9.1,9.6,10.4,11.1,11.9
2,m,81.5,83.3,84.9,86.9,89,90.9,92.8,9.9,10.6,11.2,12.3,13.2,14.2,15.1
3,m,89.2,91.5,93.6,95.8,98.4,100.8,103.2,11.3,12.4,13.2,14.5,15.7,17.1,18
4,m,95,97.3,99.6,102.6,105.7,108.5,111.5,12.3,13.4,14.5,16.1,17.4,19.1,21
5,m,100.2,102.5,105.5,108.7,112.3,115.7,119.4,13.3,14.3,15.6,17.2,19,21.5,24.3
6,m,105.2,108.2,111.1,114.9,118.5,122.3,126,14.5,15.8,17.6,19.5,21.6,24.8,28.4
7,m,110.5,113.6,117,120.6,124.6,128.5,132.7,16.1,17.7,19.8,22,25,28.6,33.5
8,m,115.6,118.6,122.3,126.3,130.7,134.9,138.9,17.6,19.7,22,25,28.4,33.4,39.6
9,m,120.2,123.6,127.4,131.7,136.2,140.6,145.2,19.1,21.5,24.5,27.8,32.4,38,45.5
10,m,125.1,128.6,132.6,137.1,141.9,146.7,151.1,20.8,23.4,27.1,31.2,36.3,43.2,51.9
11,m,130.1,133.5,137.9,142.7,147.7,152.5,157.2,22.6,25.9,30,34.8,41,48.7,58.7
12,m,134.8,138.9,143.2,148.3,153.6,158.8,163.6,25.1,28.8,33.4,39.1,46.1,54.6,66.1
13,m,140.1,144.4,149,154.1,159.7,165.1,169.9,27.6,31.8,37.3,43.3,51.3,60.8,72.8
14,m,145.8,149.9,154.6,159.9,165.4,170.7,175.9,30.9,35.6,41.5,48.4,56.5,66.5,78.5
15,m,150.4,154.8,159.4,164.5,170,175,180.1,34.5,39.7,45.9,53.2,61.7,71.5,83.1
16,m,154.2,158.6,163,168.2,173.3,178.2,183.2,37.6,43.1,49.4,56.9,65.5,75,85.7
17,m,157.4,161.7,166.1,171,176.1,180.6,185.4,40,45.7,52.2,59.5,67.8,77.3,87.5
18,m,160.8,164.6,168.8,173.5,178.4,182.6,187.2,41.8,47.8,54.2,61.6,69.7,78.7,88.2
1,f,69.9,70.6,71.8,73.7,75.9,77.3,79.2,7.1,7.7,8.3,8.8,9.7,10.5,11.4
2,f,80.3,82.5,84.2,86.4,88.3,90.3,92.5,9.1,10,10.7,11.3,12.6,13.5,14.6
3,f,87.5,89.7,91.8,94.1,96.9,99.4,101.6,10.9,11.8,12.7,13.8,15,16.2,17.9
4,f,92.9,95.3,98.1,100.9,104.3,107.3,110.6,11.6,12.7,13.8,15.2,16.8,18.8,21.3
5,f,98,100.8,104,107.5,111.2,115.1,119.1,12.3,13.6,14.8,16.4,18.5,21.4,25
6,f,103.5,106.4,109.8,113.5,117.5,121.4,125.5,13.7,15.1,16.7,18.7,21.3,24.7,29
7,f,108.8,111.9,115.5,119.4,123.5,127.7,132,15,16.8,18.7,21.2,24.2,28.2,33.4
8,f,114.2,117.7,121.3,125.4,129.7,133.9,138.5,16.6,18.6,21.1,23.9,27.5,32.2,38.2
9,f,119.5,123.3,126.9,131.4,135.8,140.5,144.8,18.5,20.8,23.7,27.2,31.6,36.8,43.4
10,f,125.2,129.1,132.9,137.5,142.2,146.7,151.2,20.6,23.5,26.9,31.1,36,41.8,49.3
11,f,130.9,134.6,138.6,143.3,148.1,152.6,157.1,23.3,26.8,30.7,35.4,41,47.6,56
12,f,135.7,139.8,143.6,148.4,153,157.6,162.2,26.1,29.9,34.6,39.7,46,53.4,62.2
13,f,140,143.6,147.8,152.3,156.9,161.3,165.9,28.9,33.2,37.9,43.7,50.2,58,67
14,f,142.6,146.4,150.2,154.6,159.2,163.6,167.9,31.3,35.7,40.6,46.4,53.1,61.2,70.3
15,f,144.4,148,151.9,156.1,160.6,164.8,169,33.1,37.4,42.5,48.3,55,62.9,72.2
16,f,145.6,149,152.7,157,161.2,165.4,169.4,34.8,39.1,44,49.8,56.2,64,72.8
17,f,146.3,149.7,153.5,157.5,161.6,165.6,169.5,36.3,40.5,45.4,50.9,57.4,64.8,73.4
18,f,147.1,150.2,154,157.8,161.9,165.8,169.6,37.6,41.7,46.5,51.9,58.2,65.2,73.7
